hotel,lease,gastro-pacht.de,https://www.gastro-pacht.de/gastronomie/immobilien/hotel-in-eibenstock-zu-verpachten/,gp-hotel-eibenstock,Hotel in Eibenstock zu verpachten,,08309,Eibenstock,,,,,,,23,2026-07-07,gastgewerbe; ~23 Zimmer per listing text; Pacht stated on listing (see url); lease; MODEL:qualify
gastronomy_with_rooms,lease,hotelimmobiliennetzwerk.de,https://www.hotelimmobiliennetzwerk.de/de/0__2_0_0__aensup/gastronomie-pachtangebote-kaufangebote-finden.html,hin-altenmarkt-landgasthof,Beliebter Landgasthof mit Paechterwohnung zur Pacht,Ortsmitte,83352,Altenmarkt an der Alz,,,,,1000,1000,,2026-07-07,gastgewerbe; Landgasthof; Gesamtflaeche 1000 m2; Pacht ~EUR1800/mo whole property; lease; MODEL:prime
gastronomy_with_rooms,lease,hotelimmobiliennetzwerk.de,https://www.hotelimmobiliennetzwerk.de/de/0__2_0_0__aensup/gastronomie-pachtangebote-kaufangebote-finden.html,hin-fridolfing-gastrobetrieb,Gastronomiebetrieb mit Paechterwohnungen und Gaestezimmern zu verpachten,,83413,Fridolfing,,,,,1200,1200,,2026-07-07,gastgewerbe; Paechterwohnungen + Gaestezimmer; Gesamtflaeche 1200 m2; Pacht auf Anfrage; lease; MODEL:prime
