# Source: Statistische Aemter des Bundes und der Laender - Regionaldatenbank Deutschland (GENESIS)
# Table: 45412-02-02-4-B Beherbergungsbetriebe, Schlafgelegenheiten, Gaesteankuenfte, Gaesteuebernachtungen nach Betriebsarten - regionale Ebenen (ab 2018)
# Regional level: Bundeslaender (16) | Year: 2024 | Retrieved: 2026-06-22 | Licence: Datenlizenz Deutschland - Namensnennung 2.0
# '.' in source = confidential (Bremen/Berlin: Vorsorge-/Reha shown within Erholungs-/Ferienheime). Empty cell here = confidential.
Land_Code;Bundesland;Betriebsart;Beherbergungsbetriebe_2024;Schlafgelegenheiten_2024;Gaesteankuenfte_2024;Gaesteuebernachtungen_2024
13;Mecklenburg-Vorpommern;Vorsorge- und Rehabilitationseinrichtungen;48;10703;159778;3281498
13;Mecklenburg-Vorpommern;Insgesamt;2788;319285;8042282;32896064
14;Sachsen;Hotels, Hotels garnis, Gasthöfe, Pensionen;1342;90750;6604258;13526273
14;Sachsen;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;564;29128;1442028;4194877
14;Sachsen;Vorsorge- und Rehabilitationseinrichtungen;34;7611;90767;2261137
14;Sachsen;Insgesamt;1940;127489;8137053;19982287
15;Sachsen-Anhalt;Hotels, Hotels garnis, Gasthöfe, Pensionen;734;38393;2591423;5073432
15;Sachsen-Anhalt;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;317;35727;748210;2239668
15;Sachsen-Anhalt;Vorsorge- und Rehabilitationseinrichtungen;14;3341;48827;1040060
15;Sachsen-Anhalt;Insgesamt;1065;77461;3388460;8353160
16;Thüringen;Hotels, Hotels garnis, Gasthöfe, Pensionen;850;45767;2954082;6137108
16;Thüringen;Erholungs-/Ferienheime, Ferienhäuser/-wohnungen, Jugendherbergen u.ä.;403;55858;824006;2236347
16;Thüringen;Vorsorge- und Rehabilitationseinrichtungen;30;5340;78134;1694794
16;Thüringen;Insgesamt;1283;106965;3856222;10068249
