asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/863b7634-7a04-5181-8e2d-69beff6bd234,ev-863b7634-7a04-5181-8e2d-69beff6bd234,"Attraktive Bürofläche in begehrter Cityrandlage",,,"Stuttgart","Baden-Württemberg",18.5,18.5,,,350,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/2487cbd1-7623-5a8a-bca6-c87d41e8b90a,ev-2487cbd1-7623-5a8a-bca6-c87d41e8b90a,"DIE MACHEREI MÜNCHEN - M1",,,"München","Bayern",28,28,,,660,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/23bceb23-117c-5d9b-bb98-c96297da8ccb,ev-23bceb23-117c-5d9b-bb98-c96297da8ccb,"Ausgezeichnetes Arbeiten in stilvollem Business-Quartier",,,"München","Bayern",20,20,,,242,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/ac687643-63f5-563f-b00b-f8f75d785158,ev-ac687643-63f5-563f-b00b-f8f75d785158,"Ausgezeichnetes Arbeiten in stilvollem Business-Quartier",,,"München","Bayern",18.5,18.5,,,1229,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/b2a00d77-98c5-581b-8dc6-50e2bf184f58,ev-b2a00d77-98c5-581b-8dc6-50e2bf184f58,"Weitblick aus dem 7. Stock am Arabellapark",,,"München","Bayern",24,24,,,611,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/f5e31292-3538-5010-96cd-4b85b98991af,ev-f5e31292-3538-5010-96cd-4b85b98991af,"Exklusive Praxisfläche am Prinzregentenplatz",,,"München","Bayern",33,33,,,448,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/94548051-9e54-57af-bfbc-8dc68de706f8,ev-94548051-9e54-57af-bfbc-8dc68de706f8,"Klimatisierte Büroeinheit in modernem Geschäftskomplex",,,"Magdeburg","Sachsen-Anhalt",,,,,190,,2026-06-29,"E&V Miete office; approx 11.176 EUR/mo"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/e9ceacf4-2539-5c5b-b1d4-f8dd44777698,ev-e9ceacf4-2539-5c5b-b1d4-f8dd44777698,"Flexible Private Offices in der HafenCity",,,"Hamburg","Hamburg",,,,,100,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/12b2f187-dadc-563e-886c-9e38c13f8333,ev-12b2f187-dadc-563e-886c-9e38c13f8333,"Flexible Private Offices in der HafenCity",,,"Hamburg","Hamburg",,,,,50,,2026-06-29,"E&V Miete office"
office,lease,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/09ca434e-9987-5d4b-83b1-8d3d3282333f,ev-09ca434e-9987-5d4b-83b1-8d3d3282333f,"Flexible Private Offices in der HafenCity",,,"Hamburg","Hamburg",,,,,13,,2026-06-29,"E&V Miete office"
