apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a1ac0244-6abc-5c97-a05b-8409f64868d4,ev-a1ac0244-6abc-5c97-a05b-8409f64868d4,"Wohn- und Geschäftshäuser mit Bauvoranfrage auf großem Grundstück",,,"Leipzig","Sachsen",,,3000000,,1626,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/eeb71c8c-3815-53ff-bcc7-e5ff0b3f2301,ev-eeb71c8c-3815-53ff-bcc7-e5ff0b3f2301,"Großzügige Praxisflächen in Leipzig-Stötteritz",,,"Leipzig","Sachsen",,,530000,,379,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/e7172ac6-eda5-5eb5-a599-ec866ec53f5b,ev-e7172ac6-eda5-5eb5-a599-ec866ec53f5b,"Sehr gepflegtes Wohn- und Geschäftshaus nahe dem Weißen See mit Bauvor",,,"Berlin","Berlin",,,4000000,,586,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/72d37ac8-05a8-533a-9386-1a9738e1a9cb,ev-72d37ac8-05a8-533a-9386-1a9738e1a9cb,"Starkes Investment: Neubau-Mehrfamilienhaus in Kreuztal",,,"Kreuztal","Nordrhein-Westfalen",,,1650000,,448,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/260f1b08-5921-5e9e-b74a-57191c489d41,ev-260f1b08-5921-5e9e-b74a-57191c489d41,"Hotel im Ortskern mit großem Gestaltungspotenzial",,,"Cuxhaven","Niedersachsen",,,2500000,,674,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/c8f1fc61-40b6-5bf0-a401-4f4491d17419,ev-c8f1fc61-40b6-5bf0-a401-4f4491d17419,"Wohn- und Geschäftshaus in guter Stadtteillage",,,"Wolfenbüttel","Niedersachsen",,,725000,,350,,2026-06-28,"E&V Kapitalanlage/investment listing"
gastronomy_with_rooms,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/327d4c23-39c0-5d45-ba3c-00ee9e99d137,ev-327d4c23-39c0-5d45-ba3c-00ee9e99d137,"Charmanter Altbau - Gastronomie am Rande der Innenstadt von Unkel",,,"Unkel","Rheinland-Pfalz",,,589000,,199,,2026-06-28,"E&V Kapitalanlage/investment listing"
other,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/5d2f1cea-0477-5d6e-a899-98dc4682d985,ev-5d2f1cea-0477-5d6e-a899-98dc4682d985,"Repräsentatives Gewerbeobjekt mit 17 Garagen",,,"Zweibrücken","Rheinland-Pfalz",,,325000,,357,,2026-06-28,"E&V Kapitalanlage/investment listing"
apartment_building,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/a935c061-769f-59a4-8938-7fedc4b76f35,ev-a935c061-769f-59a4-8938-7fedc4b76f35,"Repräsentatives Sanierungsobjekt in Zentraler Lage in Parchim",,,"Parchim","Mecklenburg-Vorpommern",,,695000,,800,,2026-06-28,"E&V Kapitalanlage/investment listing"
mixed_use,sale,Engel & Völkers,https://www.engelvoelkers.com/de/de/exposes/73e6090d-0e33-57bf-a2d7-af3ea1d0acab,ev-73e6090d-0e33-57bf-a2d7-af3ea1d0acab,"Wohn- und Geschäftshaus in Zentrumslage mit Ausbaureserve(n)",,,"Osnabrück","Niedersachsen",,,1450000,,786,,2026-06-28,"E&V Kapitalanlage/investment listing"
