asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
retail,lease,Aengevelt,https://www.aengevelt.com/immobilie/laden-verkaufsflaeche-im-historischen-und-renomierten-kaiserswerth-8273599/,AEN-8273599,Laden-/Verkaufsfläche im historischen und renomierten Kaiserswerth,Kaiserswerth,40489,Düsseldorf,Nordrhein-Westfalen,18.5,18.5,,228,228,,2026-07-02,"geo:51.30165,6.73539;MODEL:context"
mixed_use,sale,Aengevelt,https://www.aengevelt.com/immobilie/kaufgelegenheit-fuer-anleger-gepflegte-seniorenwohnanlage-mit-langfristigem-betreibervertrag-8273643/,AEN-8273643,KAUFGELEGENHEIT FÜR ANLEGER: GEPFLEGTE SENIORENWOHNANLAGE MIT LANGFRISTIGEM BETREIBERVERTRAG,,39435,Egeln,Sachsen-Anhalt,,,2300000,2000,2000,,2026-07-02,"geo:51.94009,11.42738;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/new-wave-innovation-in-eschborn-8272225/,AEN-8272225,NEW WAVE - Innovation in Eschborn,,65760,Eschborn,Hessen,,,,5235,5235,,2026-07-02,"geo:50.16845,8.53441;MODEL:prime"
mixed_use,sale,Aengevelt,https://www.aengevelt.com/immobilie/flexibel-nutzbare-gewerbeimmobilie-in-zentraler-lage-der-landeshauptstadt-zur-gewerblichen-nutzung-in-bestand-oder-projektentwicklung-8272599/,AEN-8272599,FLEXIBEL NUTZBARE GEWERBEIMMOBILIE IN ZENTRALER LAGE DER LANDESHAUPTSTADT – ZUR GEWERBLICHEN NUTZUNG – IN BESTAND - ODER PROJEKTENTWICKLUNG,,39104,Magdeburg,Sachsen-Anhalt,,,1800000,1985,1985,,2026-07-02,"geo:52.13551,11.63081;MODEL:prime"
industrial_hall,lease,Aengevelt,https://www.aengevelt.com/immobilie/zentral-gelegen-perfekt-vernetzt-ihr-logistikstandort-in-moeckern-8272669/,AEN-8272669,"Zentral gelegen, perfekt vernetzt – Ihr Logistikstandort in Möckern!",,39291,Möckern,Sachsen-Anhalt,,,,46315,46315,,2026-07-02,"geo:52.23661,12.05856;POR;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/moderner-und-sofort-bezugsfertiger-bueroneubau-8269123/,AEN-8269123,Moderner und sofort bezugsfertiger Büroneubau,Gesundbrunnen,13355,Berlin,Berlin,,,,1435,1435,,2026-07-02,"geo:52.54123,13.38355;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/moderne-arbeitswelten-mit-grossem-green-campus-in-verkehrsguenstiger-lage-8269239/,AEN-8269239,Moderne Arbeitswelten mit großem Green-Campus in verkehrsgünstiger Lage,Westend,14059,Berlin,Berlin,,,,2722,2722,,2026-07-02,"geo:52.51438,13.28438;MODEL:prime"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/buerogebaeude-im-westen-frankfurts-8269652/,AEN-8269652,Bürogebäude im Westen Frankfurts,,65936,Frankfurt am Main,Hessen,,,,15000,15000,,2026-07-02,"geo:50.13213,8.57668;POR;MODEL:prime"
industrial_hall,sale,Aengevelt,https://www.aengevelt.com/immobilie/gewerbliche-teileigentumsflaeche-auf-der-szenemeile-kastanienallee-im-zentrum-berlins-8270105/,AEN-8270105,Gewerbliche Teileigentumsfläche auf der Szenemeile Kastanienallee im Zentrum Berlins,Prenzlauer Berg,10435,Berlin,Berlin,,,1558000,190,190,,2026-07-02,"geo:52.53587,13.40717;MODEL:context"
office,lease,Aengevelt,https://www.aengevelt.com/immobilie/solitaer-buerogebaeude-mit-optimaler-anbindung-an-die-region-8270160/,AEN-8270160,Solitär-Bürogebäude mit optimaler Anbindung an die Region,Großenbaum,47269,Duisburg,Nordrhein-Westfalen,10,10,,1005,1005,,2026-07-02,"geo:51.36637,6.77438;MODEL:prime"
