asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/384796/,ohm-384796,"Das wohl beeindruckendste Büro Fürths – voll möbliert, zen",,90762,Fürth,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/386491/,ohm-386491,Einzelbüros All Inclusive mit Klima ! Letzte Büros! 14m² 21m² oder 36m,,,,,15.7,15.7,,,14,,2026-07-02,rent ~220 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/388575/,ohm-388575,Modernes Büro in Lübbecke – sofort verfügbar!,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/389682/,ohm-389682,"Gewerbefläche Büro, Lager, Sport, Gastro oder Praxis",,,,,,,,,,,2026-07-02,rent ~2.000 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/389960/,ohm-389960,Ladenlokal/Büro/Praxis,,,,,,,,,,,2026-07-02,rent ~1.775 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/391847/,ohm-391847,Schreibtischplatz im Grünen & doch zentral im Stuttgarter Norden (befr,,,,,,,,,,,2026-07-02,rent ~350 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/391860/,ohm-391860,Repräsentative Büro- oder Verkaufsfläche mit großzügigem Lager und Gar,,85356,Freising,,,,,,,,2026-07-02,rent ~11 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/393993/,ohm-393993,Münchner Freiheit – Moderne Bürofläche in Top-Lage,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/395322/,ohm-395322,**New** Moderne Bürofläche mit großer Terrasse im Gewerbegebiet Koblen,,56070,Koblenz,,,,,,,,2026-07-02,rent ~1.250 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/396689/,ohm-396689,"Büro-/Praxisfläche, 5 Zimmer, 106 m², zentral gelegen. Seh",,17389,Anklam,,,,,,106,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/397258/,ohm-397258,Bürofläche in Sömmerda,,99610,Sömmerda,,,,,,,,2026-07-02,rent ~268 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/399184/,ohm-399184,Büro/ Praxisetage in bester Lage in Wolfenbüttel mit Parkplätzen,,38304,Wolfenbüttel,,,,,,,,2026-07-02,rent ~3.360 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/399463/,ohm-399463,"Repräsentative, flexible Büroflächen in erstklassiger Lage",,75179,Pforzheim,,,,,,,,2026-07-02,rent ~3.690 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/399795/,ohm-399795,Büroräume mit Freifläche,,32312,Lübbecke,,,,,,,,2026-07-02,rent ~4.875 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/400917/,ohm-400917,Büro oder Gewerbefläche mitten im Herzen Neuköllns,,,,,,,,,,,2026-07-02,rent ~670 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/401294/,ohm-401294,** Schicke Büroeinheit für Ihre Expansion **,,61118,Bad Vilbel,,,,,,,,2026-07-02,rent ~2.800 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/401540/,ohm-401540,Moderne Büros & Coworking in Göppingen – vom Arbeitsplatz bis zur 200,,73033,Göppingen,,,,,,200,,2026-07-02,rent ~250 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/402453/,ohm-402453,"Büros ab 273,- in Münster - St. Mauritz verkehrsgünstig in",,48157,Münster,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/402558/,ohm-402558,270 m² Bürofläche | Stuttgart-Vaihingen | flexibel nutzbar | sofort fr,,,,,9.1,9.1,,,270,,2026-07-02,rent ~2.450 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/402781/,ohm-402781,Helle Büro- bzw Praxisräume in zentraler Lage von Schwetzingen,,68723,Schwetzingen,,,,,,,,2026-07-02,rent ~1.400 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/403048/,ohm-403048,"Büro-/Geschäftsräume zwischen 18 und 450m² ab 9€/m², barri",,68799,Reilingen,,,,,,450,,2026-07-02,rent ~9 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/404336/,ohm-404336,Vielseitig nutzbare Gewerbefläche mit großem Gestaltungssp,,68799,Reilingen,,,,,,,,2026-07-02,rent ~8 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/404635/,ohm-404635,Klimatisierte Büroräume in Bischofsheim Ortsmitte -Neubau-,,65474,Bischofsheim,,,,,,,,2026-07-02,rent ~1.090 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/404707/,ohm-404707,Zentrumsnahe vielseitig nutzbare Gewerberäume - Teilbar nach Rücksprac,,23795,Bad Segeberg,,,,,,,,2026-07-02,rent ~599 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/405559/,ohm-405559,REPRÄSENTATIVES MAISSONETTE BÜRO in TOP DESIGNER HAUS 330 qm auf 2 Eta,,,,,,,,,,,2026-07-02,rent ~3.300 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/406416/,ohm-406416,Büroflächen für expandierende Unternehmen aus der Region |,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/406608/,ohm-406608,GEWERBEFLÄCHE Ladenlokal Gastronomie Stellplätze zu vermie,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/408544/,ohm-408544,Top-Standort am Kreuz Köln-West: 265 m² flexible Gewerbefläche -Provis,,,,,6.6,6.6,,,265,,2026-07-02,rent ~1.746 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/409461/,ohm-409461,Vielseitige Gewerbefläche mit charmantem Innenhof – flexibel nutzbar f,,87719,Mindelheim,,,,,,,,2026-07-02,rent ~1.500 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/410540/,ohm-410540,Büros ab 25m²,,41464,Neuss,,10,10,,,25,,2026-07-02,rent ~250 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411149/,ohm-411149,"Modernes Büro am Neumarkt – 90m², provisionsfrei & sofort verfügbar!",,,,,19.4,19.4,,,90,,2026-07-02,rent ~1.750 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411179/,ohm-411179,Westsite München*Moderne Bürofläche mit exzellenter Anbindung und Sich,,,,,,,,,,,2026-07-02,rent ~4.740 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411259/,ohm-411259,Büro/Lagerfläche im Gewerbepark Hunderdorf - zur Miete 05,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411260/,ohm-411260,Büro/Lagerfläche im Gewerbepark Hunderdorf - zur Miete 11,,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411261/,ohm-411261,*Innovum Nürnberg*Nürnberg West: Top-Bürofläche*U-Bahn-Anschluss direk,,,,,,,,,,,2026-07-02,rent ~2.900 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411468/,ohm-411468,"Bürofläche im Zuckerspeicher (2. Etage, 225 m², 17 Arbeits",,,,,,,,,225,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/411523/,ohm-411523,"sweetMix – Private Offices im Zuckerspeicher (Kleinbüro, E",,,,,,,,,,,2026-07-02,
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/417285/,ohm-417285,Attraktives Büro in zentraler Lage von Sankt Augustin – provisionsfrei,,,,,,,,,,,2026-07-02,rent ~3.105 EUR/mo
office,lease,ohne-makler.net,https://www.ohne-makler.net/immobilie/417663/,ohm-417663,Büro / Firmensitz / Co-Working in Monheim am Rhein: bis zu 50 % Gewerb,,40789,Monheim am Rhein,,,,,,,,2026-07-02,rent ~99 EUR/mo
