asset_type,deal,source,source_url,listing_id,name,district,plz,city,state,rent_eur_m2_min,rent_eur_m2_max,price_eur,area_min_m2,area_max_m2,rooms,captured,notes
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3304,jll-D3304,"Office property — Düsseldorf, Heerdt (D3304)",Heerdt,40549,Düsseldorf,Nordrhein-Westfalen,15,15,,246,3094,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0087,jll-D0087,"Office property — Düsseldorf, Lörick (D0087)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,,337,1145,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3236,jll-D3236,"Office property — Düsseldorf, Holthausen (D3236)",Holthausen,40589,Düsseldorf,Nordrhein-Westfalen,10.77,10.77,,77,1665,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0657,jll-D0657,"Office property — Düsseldorf, Benrath (D0657)",Benrath,40597,Düsseldorf,Nordrhein-Westfalen,10,10,,133,1545,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0700,jll-D0700,"Office property — Düsseldorf, Lichtenbroich (D0700)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.95,12.95,,296,2702,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0886,jll-D0886,"Office property — Düsseldorf, Lörick (D0886)",Lörick,40547,Düsseldorf,Nordrhein-Westfalen,14.75,14.75,,329,2446,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0663,jll-D0663,"Office property — Düsseldorf, Lichtenbroich (D0663)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,,314,1334,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0672,jll-D0672,"Office property — Düsseldorf, Mörsenbroich (D0672)",Mörsenbroich,40470,Düsseldorf,Nordrhein-Westfalen,10.5,12,,206,3838,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d0705,jll-D0705,"Office property — Düsseldorf, Flingern Nord (D0705)",Flingern Nord,40237,Düsseldorf,Nordrhein-Westfalen,13.5,13.5,,510,1564,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
office,lease,JLL,https://gewerbeimmobilien.jll.de/bueros/d3445,jll-D3445,"Office property — Düsseldorf, Lichtenbroich (D3445)",Lichtenbroich,40472,Düsseldorf,Nordrhein-Westfalen,12.5,12.5,,317,1654,,2026-06-28,"JLL gewerbeimmobilien; for-rent; €/m²·mo; area=available-unit range; filter applied: 1000-6000m², ≤€15/m²"
